"Lead: Grace 
Matthews
"- Aggravated 
Assault",164,259,231,241,251,,,
"- All Property 
Crimes",1703,1976,1893,1884,1762,,,
- Arson,15,0,0,0,-,,,
- Burglary,284,627,637,603,526,,,
- Larceny-theft,1008,1349,1254,1260,1203,,,
"- Motor vehicle 
theft ",411,0,2,21,33,,,
,,,,,,,,
Tuolumne ,,,,,,,,
"- All Violent 
Crimes",173,169,169,205,286,,,
- Homicide,2,2,2,0,1,,,
- Rape,39,52,62,75,120,,,
- Robbery ,13,11,7,12,12,,,
"- Aggravated 
Assault",119,104,98,118,153,,,
"- All Property 
Crimes",622,555,669,603,559,,,peak in 2012
- Arson,6,3,6,11,-,,,
- Burglary,322,272,306,268,248,,,
- Larceny-theft,294,271,355,328,298,,,
"- Motor vehicle 
theft ",6,12,8,7,13,,,
,,,,,,,,
Ventura,,,,,,,,
"- All Violent 
Crimes",176,141,159,98,104,,,peak in 2017
- Homicide,2,3,5,1,0,,,
- Rape,30,19,18,20,16,,,peak in 2015
- Robbery ,26,21,25,13,14,,,
"- Aggravated 
Assault",118,98,111,64,74,,,
"- All Property 
Crimes",817,697,543,730,742,,,
- Arson,8,7,13,13,-,,,
- Burglary,194,154,112,129,131,,,
- Larceny-theft,531,473,363,517,545,,,
"- Motor vehicle 
theft ",92,70,68,84,66,,,
,,,,,,,,
Yolo ,,,,,,,,
"- All Violent 
Crimes",56,81,69,64,58,,,peak in 2015
- Homicide,2,2,0,2,0,,,
- Rape,4,7,8,5,5,,,peak in 2015
- Robbery ,10,7,6,4,4,,,
"- Aggravated 
Assault",40,65,55,53,49,,,
"- All Property 
Crimes",282,287,294,266,346,,,
- Arson,3,2,1,2,-,,,
- Burglary,99,82,79,87,81,,,
- Larceny-theft,166,194,204,157,244,,,
"- Motor vehicle 
theft ",17,11,11,12,21,,,
,,,,,,,,
Yuba,,,,,,,,
"- All Violent 
Crimes",224,225,204,256,217,,,
- Homicide,2,7,5,2,4,,,
- Rape,17,28,21,17,15,,,
- Robbery ,37,45,37,40,40,,,
"- Aggravated 
Assault",168,145,141,197,158,,,
"- All Property 
Crimes",1156,912,847,880,730,,,
- Arson,16,21,11,24,-,,,
- Burglary,433,338,316,247,170,,,
- Larceny-theft,718,560,520,608,536,,,"peak in 2012, 
relative decline since "
"- Motor vehicle 
theft ",5,14,11,25,24,,,
